Date,Time,ID,Home,HSets,HPoints,Away,ASets,APoints,Division,Category,Venue,R1,R2
2005-09-17,00:00,,Leeds Gorse,3,25 25 25 - -,Cambridge ARU,0,18 19 10 - -,division_2,women,TBC,,
2005-09-24,00:00,,Team SideOut Polonia (London),3,25 18 25 25 0,Malory Eagles UEL,1,14 25 22 20 0,division_1,women,St Benedicts School,,
2005-09-25,00:00,,City of Bristol,3,25 25 25 - -,Southampton,0,20 15 17 - -,division_3,women,Talacre Community Sports Centre,,
2005-09-25,00:00,,Northampton,3,25 28 25 - -,Coventry & Warwick Riga,0,23 26 18 - -,division_3,women,Moulton Leisure Centre,,
2005-09-25,00:00,,Plymouth,3,25 25 24 25 0,Southampton 2,1,13 13 26 14 0,division_3,women,Coombe Dean School,,
2005-10-08,00:00,,Ashcombe Dorking,3,25 25 25 - -,Herts,0,19 12 13 - -,division_2,women,TBC,,
2005-10-08,00:00,,Loughborough Students,3,25 25 25 - -,Team SideOut Polonia (London),0,22 21 14 - -,division_1,women,TBC,,
2005-10-08,00:00,,Reading Aces,1,25 21 16 22 0,Cambridge ARU,3,8 25 25 25 0,division_2,women,Loddon Valley Leisure Centre,,
2005-10-09,00:00,,Guildford International,3,19 25 25 25 0,Cambridge ARU,1,25 14 23 21 0,division_2,women,TBC,,
2005-10-16,00:00,,Newmarket,3,25 25 25 - -,Coventry & Warwick Riga 2,0,20 19 19 - -,cup,men,,,
2005-10-16,00:00,,Southampton 2,3,25 25 25 - -,City of Bristol,0,16 22 21 - -,division_3,women,Sholing Technology College,,
2005-10-22,00:00,,Leeds Gorse,3,25 25 25 - -,Herts,0,16 21 18 - -,division_2,women,TBC,,
2005-10-22,00:00,,Malory Eagles UEL,3,25 25 25 - -,Portsmouth,0,20 14 16 - -,division_1,women,Brunel University Osterley Campus,,
2005-10-23,00:00,,Reading Aces,1,6 25 22 17 0,Guildford International,3,25 22 25 25 0,division_2,women,Kendrick School,,
2005-10-30,00:00,,Coventry & Warwick Riga,0,20 16 18 - -,Northampton,3,25 25 25 - -,division_3,women,St. Nicholas Park L.C.,,
2005-10-30,00:00,,Plymouth,3,25 25 25 - -,Southampton,0,18 21 8 - -,division_3,women,Whitechapel S.C.,,
2005-11-06,00:00,,Herts,3,20 25 25 23 15,Cambridge ARU,2,25 22 19 25 13,division_2,women,Francis Bacon Sports Centre,,
2005-11-12,00:00,,City of Bristol,0,10 6 18 - -,Team SideOut Polonia (London),3,25 25 25 - -,cup,women,,,
2005-11-12,00:00,,Essex Blaze,2,26 25 18 16 9,Coventry and Warwick Riga,3,24 22 25 25 15,cup,men,,,
2005-11-12,00:00,,Nottingham Rockets,0,7 14 12 - -,Richmond Docklands,3,25 25 25 - -,cup,men,,,
2005-11-12,00:00,,Reading Aces,3,20 25 26 25 0,Herts,1,25 19 24 20 0,cup,women,,,
2005-11-12,00:00,,Southampton,0,0 0 0 - -,IBB Polonia London,3,25 25 25 - -,cup,men,,,
2005-11-13,00:00,,Ashcombe Dorking,0,22 15 21 - -,Reading Aces,3,25 25 25 - -,division_2,women,TBC,,
2005-11-13,00:00,,Plymouth,0,11 10 21 - -,Ashcombe Dorking,3,25 25 25 - -,cup,women,,,
2005-11-13,00:00,,Portsmouth,3,25 22 25 25 0,Loughborough Students,1,22 25 9 23 0,division_1,women,Milton Cross School,,
2005-11-20,00:00,,Guildford International,0,13 14 10 - -,Ashcombe Dorking,3,25 25 25 - -,division_2,women,TBC,,
2005-11-26,00:00,,Cambridge ARU,3,25 15 25 25 16,Leeds Gorse,2,17 25 22 27 14,division_2,women,Chesterton Sports Centre,,
2005-11-26,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Portsmouth,0,23 21 18 - -,division_1,women,St Benedicts School,,
2005-11-27,00:00,,City of Bristol,3,25 25 25 - -,Southampton 2,0,21 16 15 - -,division_3,women,University of Bristol,,
2005-12-03,00:00,,Herts,3,25 24 28 27 0,Guildford International,1,23 26 26 25 0,division_2,women,Francis Bacon Sports Centre,,
2005-12-03,00:00,,Leeds Gorse,1,19 18 25 21 0,Ashcombe Dorking,3,25 25 21 25 0,division_2,women,TBC,,
2005-12-04,00:00,,Herts,0,19 10 19 - -,Reading Aces,3,25 25 25 - -,division_2,women,Francis Bacon Sports Centre,,
2005-12-10,00:00,,Loughborough Students,0,17 24 19 - -,Portsmouth,3,25 26 25 - -,division_1,women,TBC,,
