season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2011-2012,2012-02-04,00:00,,Black Country,2,16 10 25 25 9,IBB Polonia London,3,25 25 23 19 15,cup,men,,110308,110308
2011-2012,2012-02-04,00:00,,Northumbria University,3,25 25 25 - -,Malory Eagles UEL,0,21 19 21 - -,cup,men,TBC,110308,110308
2011-2012,2011-11-26,00:00,,Southampton,0,21 20 23 - -,IBB Polonia London,3,25 25 25 - -,cup,men,TBC,110308,110308
2011-2012,2011-11-26,00:00,,Black Country,3,25 15 25 21 15,Essex Estonians,2,21 25 18 25 13,cup,men,TBC,110308,110308
2011-2012,2011-11-05,00:00,,Coventry and Warwick Riga,3,25 28 18 26 0,Nottingham Rockets,1,22 26 25 24 0,cup,men,TBC,110308,110308
2011-2012,2011-11-05,00:00,,Dartford Crossers,0,16 19 22 - -,Southampton,3,25 25 25 - -,cup,men,,110308,110308
2011-2012,2011-11-05,00:00,,London Aces,3,25 25 19 20 15,Cambridge ARU,2,18 23 25 25 13,cup,men,TBC,110308,110308
2011-2012,2011-10-16,00:00,,London Aces,3,25 25 25 - -,Newmarket,0,17 17 20 - -,cup,men,Battersea Youth Centre,110308,110308
2011-2012,2012-04-14,00:00,,Cambridge ARU,3,25 25 23 25 0,Richmond Docklands,1,19 22 25 17 0,division_1,men,North Cambridge Academy,110308,110308
2011-2012,2012-03-31,00:00,,Newcastle Staffs,3,25 25 25 25 0,Southampton,1,21 27 18 15 0,division_1,men,Keele University Sports Centre,110308,110308
2011-2012,2012-03-24,00:00,,Southampton,3,25 11 25 25 0,Richmond Docklands,1,18 25 21 21 0,division_1,men,Itchen College Sports Centre,110308,110308
2011-2012,2012-03-10,00:00,,Essex Estonians,3,25 12 23 25 15,Cambridge ARU,2,20 25 25 14 8,division_1,men,Becket Keys School,110308,110308
2011-2012,2012-03-03,00:00,,Cambridge ARU,1,15 15 25 19 0,Southampton,3,25 25 18 25 0,division_1,men,North Cambridge Academy,110308,110308
2011-2012,2012-02-18,00:00,,Newcastle Staffs,3,28 25 25 - -,Essex Estonians,0,26 16 18 - -,division_1,men,Keele University Sports Centre,110308,110308
2011-2012,2012-01-28,00:00,,Essex Estonians,0,20 20 13 - -,Richmond Docklands,3,25 25 25 - -,division_1,men,Becket Keys School,110308,110308
2011-2012,2012-01-21,00:00,,Newcastle Staffs,3,25 25 25 - -,Cambridge ARU,0,19 15 16 - -,division_1,men,Keele University Sports Centre,110308,110308
2011-2012,2012-01-14,00:00,,Southampton,3,25 25 25 - -,Essex Estonians,0,23 23 11 - -,division_1,men,Itchen College Sports Centre,110308,110308
2011-2012,2012-01-14,00:00,,Richmond Docklands,1,21 24 25 19 0,Newcastle Staffs,3,25 26 20 25 0,division_1,men,Bacons S.C.,110308,110308
2011-2012,2011-12-10,00:00,,Richmond Docklands,3,25 25 25 25 0,Cambridge ARU,1,21 15 27 21 0,division_1,men,Bacons S.C.,110308,110308
2011-2012,2011-12-03,00:00,,Southampton,3,26 30 24 23 15,Newcastle Staffs,2,24 28 26 25 12,division_1,men,Itchen College Sports Centre,110308,110308
2011-2012,2011-11-19,00:00,,Richmond Docklands,3,25 25 25 - -,Southampton,0,18 17 23 - -,division_1,men,Bacons S.C.,110308,110308
2011-2012,2011-10-29,00:00,,Cambridge ARU,1,21 27 25 21 0,Essex Estonians,3,25 29 18 25 0,division_1,men,North Cambridge Academy,110308,110308
2011-2012,2011-10-22,00:00,,Southampton,3,25 25 25 - -,Cambridge ARU,0,16 23 23 - -,division_1,men,Itchen College Sports Centre,110308,110308
2011-2012,2011-10-08,00:00,,Essex Estonians,0,22 18 19 - -,Newcastle Staffs,3,25 25 25 - -,division_1,men,Becket Keys School,110308,110308
2011-2012,2011-10-01,00:00,,Richmond Docklands,3,25 25 25 - -,Essex Estonians,0,20 23 22 - -,division_1,men,Bacons S.C.,110308,110308
2011-2012,2011-09-24,00:00,,Cambridge ARU,0,15 10 16 - -,Newcastle Staffs,3,25 25 25 - -,division_1,men,North Cambridge Academy,110308,110308
2011-2012,2011-09-17,00:00,,Newcastle Staffs,3,25 25 25 - -,Richmond Docklands,0,19 22 14 - -,division_1,men,Keele University Sports Centre,110308,110308
