season,date,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2024-2025,2024-09-28,London Aces,1,19 17 25 22 -,Leeds Gorse,3,25 25 19 25 -,division_1,men,Lambeth Academy,Francesca Hossain,Andres Hernandez
2024-2025,2024-09-29,London Baks,0,18 16 12 - -,Leeds Gorse,3,25 25 25 - -,division_1,men,Castle Green Sport Centre,Anna Justkowska,Domenico De Mattia
2024-2025,2024-10-05,Kent Invicta,3,25 28 25 - -,Tendring,0,20 26 10 - -,division_3,men,Maidstone Grammar School for Girls,Domenico De Mattia,Paula A'Bear
2024-2025,2024-10-05,Tendring,3,25 25 25 - -,Urbond VC Portsmouth,0,14 22 19 - -,division_3,men,Maidstone Grammar School for Girls,Paula A'Bear,Domenico De Mattia
2024-2025,2024-10-05,Kent Invicta,3,20 22 25 25 15,Urbond VC Portsmouth,2,25 25 15 23 6,division_3,men,Maidstone Grammar School for Girls,Domenico De Mattia,Paula A'Bear
2024-2025,2024-10-05,Leeds Gorse 3,3,25 25 25 - -,Manchester Marvels Mystics,0,17 21 21 - -,division_3,women,Joseph Rowntree School,Erfan  Jamali,Lusyne Oracz
2024-2025,2024-10-05,Sheffield Springers,3,27 25 25 - -,Urmston Grammar,0,25 19 16 - -,division_3,men,All Saints Sports Centre,Clark Antcliff,Aileen Barry
2024-2025,2024-10-05,Sheffield Springers,3,25 25 25 - -,York Vikings,0,22 22 23 - -,division_3,men,All Saints Sports Centre,Aileen Barry,Clark Antcliff
2024-2025,2024-10-05,Ashfield Vipers,3,25 26 25 25 -,Coventry & Warwick Riga 2,1,19 28 17 17 -,division_3,women,Riseholme College (Showground Campus),Vladimir Hojda,Tyler McClarron
2024-2025,2024-10-05,Everton Narwhals,0,26 22 25 - -,Manchester Marvels Mayhem,3,28 25 27 - -,division_2,women,Litherland High School,Sarah Hanrahan,Boriss Bovkuns
2024-2025,2024-10-05,Harrogate,2,24 25 23 25 7,Kings of Court,3,26 21 25 18 15,division_2,men,Rossett Sports Centre,Diane Hollows,Martyn Quick
2024-2025,2024-10-05,Cambridge,3,25 25 25 - -,Herts,0,10 15 12 - -,division_2,women,North Cambridge Academy,Maya Stancheva,Jean-nicolas Jacquet
2024-2025,2024-10-05,Loughborough Students,1,28 20 14 23 -,Rhinos Volleyball Cambridge,3,26 25 25 25 -,division_2,men,Parkin Sports Centre,William Perugini,Ana Pal
2024-2025,2024-10-05,London Baks,0,19 23 20 - -,Bristol,3,25 25 25 - -,division_1,men,Castle Green Sport Centre,Ian Cheesbrough,Ruben Duarte
2024-2025,2024-10-05,Leeds Gorse,3,25 25 25 - -,Exeter Storm,0,18 16 15 - -,division_1,men,The Ruth Gorse Academy,Lenny Barry,Michal Garncarz
2024-2025,2024-10-05,Spelthorne Lions,0,0 0 0 - -,Richmond Bucks,3,25 25 25 - -,division_2,men,St. James School,Gianni Sutton,
2024-2025,2024-10-05,Lincoln Cannons,3,25 25 25 - -,Coventry & Warwick Riga 2,0,10 15 11 - -,division_3,women,Riseholme College (Showground Campus),Vladimir Hojda,Tyler McClarron
2024-2025,2024-10-05,Lincoln Cannons,3,25 25 25 - -,Ashfield Vipers,0,19 11 18 - -,division_3,women,Riseholme College (Showground Campus),Vladimir Hojda,Tyler McClarron
2024-2025,2024-10-05,York Vikings,2,24 23 25 25 12,Urmston Grammar,3,26 25 17 15 15,division_3,men,All Saints Sports Centre,Clark Antcliff,Aileen Barry
2024-2025,2024-10-05,York Falcons,1,6 20 25 18 -,Leeds Gorse 3,3,25 25 17 25 -,division_3,women,Joseph Rowntree School,Erfan  Jamali,Lusyne Oracz
2024-2025,2024-10-05,Wessex,0,11 23 10 - -,Malory Eagles UEL,3,25 25 25 - -,superleague,women,Parkstone Grammar School,Ludwik Kowalewski,Richard Parkes
2024-2025,2024-10-06,Richmond 3,0,17 17 13 - -,Worthing,3,25 25 25 - -,division_3,women,Tendring Technology College,Rob Sharman,Claudiu Florea
2024-2025,2024-10-06,Dartford Warriors,2,26 17 23 25 11,Sussex Dolphins,3,24 25 25 21 15,division_3,women,St. James School,Tomasz Gierlach,Ryszard Dabrowski
2024-2025,2024-10-06,Tendring,2,25 18 25 14 6,Worthing,3,13 25 15 25 15,division_3,women,Tendring Technology College,Claudiu Florea,Rob Sharman
2024-2025,2024-10-06,Spelthorne Sharks,0,18 16 19 - -,Sussex Dolphins,3,25 25 25 - -,division_3,women,St. James School,Ryszard Dabrowski,Tomasz Gierlach
2024-2025,2024-10-06,DARKSTAR Derbyshire 2,1,23 25 23 20 -,Tamworth Spartans 2,3,25 22 25 25 -,division_3,men,Limehurst Academy,Gary Cross,Elia Gironacci
