season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2016-2017,2017-04-01,00:00,,IBB Polonia London,3,21 25 25 25 0,Sheffield,1,25 21 14 22 0,cup,men,National Volleyball Centre,110308,110308
2016-2017,2017-02-25,00:00,,Northumbria University,1,25 28 30 16 0,Sheffield,3,18 30 32 25 0,cup,men,Sports Central,110308,110308
2016-2017,2017-01-28,00:00,,Sheffield 2,0,11 23 19 - -,Northumbria University,3,25 25 25 - -,cup,men,Sheffield - U18 Boys,110308,110308
2016-2017,2017-01-28,00:00,,Sheffield,3,25 25 25 - -,Malory Eagles UEL,0,21 22 12 - -,cup,men,Sheffield - U18 Boys,110308,110308
2016-2017,2016-11-12,00:00,,Newcastle Staffs,0,18 11 24 - -,Sheffield,3,25 25 26 - -,cup,men,Keele University Sports Centre,110308,110308
2016-2017,2016-11-12,00:00,,Northumbria University,3,25 25 25 - -,Leeds Gorse,0,14 14 17 - -,cup,men,Sports Central,110308,110308
2016-2017,2016-11-12,00:00,,Team Sunderland,0,12 13 21 - -,Sheffield 2,3,25 25 25 - -,cup,men,Sunderland University (Cityspace),110308,110308
2016-2017,2016-11-05,00:00,,Malory Eagles UEL,3,25 15 25 26 0,University of Nottingham,1,21 25 18 24 0,cup,men,Ernest Bevin College,110308,110308
2016-2017,2016-10-29,00:00,,Black Country,0,26 17 16 - -,Sheffield,3,28 25 25 - -,cup,men,Cleobury Mortimer Sports Centre,110308,110308
2016-2017,2016-10-16,00:00,,Sheffield 2,3,18 25 26 25 0,Richmond Docklands,1,25 23 24 23 0,cup,men,Sheffield - U18 Boys,110308,110308
2016-2017,2016-10-16,00:00,,Northumbria University,3,25 25 25 - -,Durham Palatinates,0,17 9 21 - -,cup,men,Sports Central,110308,110308
2016-2017,2016-10-15,00:00,,Leeds Gorse,3,25 25 25 - -,York Vikings,0,19 23 22 - -,cup,men,The Ruth Gorse Academy,110308,110308
2016-2017,2016-10-15,00:00,,DARKSTAR Derbyshire,1,16 19 25 16 0,Newcastle Staffs,3,25 25 23 25 0,cup,men,Derbyshire Volleyball Centre (Derby Moor),110308,110308
2016-2017,2016-10-08,00:00,,Leeds Gorse,3,25 25 25 - -,Manchester Marvels Marauders,0,23 17 20 - -,cup,men,The Ruth Gorse Academy,110308,110308
2016-2017,2016-10-01,00:00,,University of Nottingham,3,25 25 25 - -,Intervolley Manchester,0,13 15 13 - -,cup,men,David Ross Sports Village,110308,110308
2016-2017,2016-10-01,00:00,,MK City,1,25 15 22 22 0,Loughborough Students,3,15 25 25 25 0,cup,men,Woughton Leisure Centre,110308,110308
2016-2017,2016-09-18,00:00,,Hull Thunder,1,23 25 23 15 0,Sheffield 2,3,25 18 25 25 0,cup,men,Hull Holy Trinity House Academy,110308,110308
2016-2017,2016-09-17,00:00,,York Vikings,3,20 25 25 23 15,The Miners Doncaster,2,25 14 22 25 13,cup,men,University of York Sports Centre,110308,110308
2016-2017,2016-09-17,00:00,,Lincoln Cannons,0,20 14 22 - -,Black Country,3,25 25 25 - -,cup,men,The Priory Pembroke Academy,110308,110308
2016-2017,2016-09-17,00:00,,Cambridge ARU,2,23 25 29 26 10,Coventry and Warwick Riga,3,25 21 27 28 15,cup,men,North Cambridge Academy,110308,110308
